State,State-County,POLLUTANT,Emissions (Tons),Pollutant Type,SCC Code,EIS Sector,Source Description,SCC LEVEL 1,SCC LEVEL 2,SCC LEVEL 3,SCC LEVEL 4,EPA Region,FIPS
Oregon,OR - Baker,Carbon Monoxide,0.02823,CAP,2203610080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,0.02511,CAP,2203610080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.00085,CAP,2203610080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.00050,CAP,2203610080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00029,CAP,2203610080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.20430,CAP,2203530080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,0.00840,CAP,2203530080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.00486,CAP,2203530080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.00076,CAP,2203530080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00053,CAP,2203530080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.03741,CAP,2203520080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,0.00298,CAP,2203520080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.00092,CAP,2203520080,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Compressed Natural Gas (CNG),Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,472.40440,CAP,2202620080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,182.99850,CAP,2202620080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,18.55809,CAP,2202620080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),17.27565,CAP,2202620080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),11.65626,CAP,2202620080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,2.75439,CAP,2202620080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.45481,CAP,2202620080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,67.80981,CAP,2202610080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
