Game Name,Rating (Score),Downloads (Millions),Genre,Release Year,Platforms,Price USD,Age Rating
Animal Crossing: New Horizons,9.0,42.0,Simulation,2020,Switch,59.99,E
Elden Ring,9.3,30.0,Action RPG,2022,"PC, PS5, Xbox Series X/S",59.99,M 17+
Cyberpunk 2077,8.5,35.0,Action RPG,2020,"PC, PS4, Xbox One",59.99,M 17+
COD: Black Ops,8.0,30.0,Shooter,2020,"PC, Console",59.99,M 17+
COD: Vanguard,7.8,30.0,Shooter,2021,"PC, Console",59.99,M 17+
Black Myth: Wukong,9.1,28.0,Action RPG,2024,"PC, PS5, Xbox Series X/S",59.99,M 17+
Pokemon Scarlet/Violet,8.3,27.15,RPG,2022,Switch,59.99,T 13+
Phasmophobia,8.6,25.0,Horror,2021,PC,14.99,M 17+
It Takes Two,8.7,23.0,Adventure,2021,"PC, PS4, Xbox One",29.99,T 13+
Zelda: Tears,9.5,22.0,Adventure,2023,Switch,59.99,T 13+
Helldivers 2,8.4,18.0,Shooter,2024,"PC, PS5, Xbox",39.99,M 17+
Monster Hunter Rise,8.8,17.5,Action RPG,2021,"Switch, PC",29.99,T 13+
Switch Sports,8.0,16.27,Sports,2022,Switch,49.99,E
Super Mario Bros Wonder,8.5,16.03,Platformer,2023,Switch,59.99,E
Pokemon BDSP,8.2,15.06,RPG,2021,Switch,59.99,T 13+
Assassins Creed Valhalla,8.1,15.0,Adventure,2020,"PC, PS4, Xbox One",59.99,M 17+
God of War Ragnarok,9.0,15.0,Adventure,2022,PS5,69.99,M 17+
Baldurs Gate 3,9.6,15.0,RPG,2023,"PC, PS5, Xbox Series X/S",59.99,M 17+
Palworld,8.5,15.0,Survival,2024,"PC, PS5, Xbox Series X/S",29.99,T 13+
Hogwarts Legacy,8.7,34.0,Action RPG,2023,"PC, Multi",69.99,T 13+
Minecraft,9.0,300.0,Sandbox,2011,"PC, Console, Mobile",26.95,E10+
GTA V,8.6,205.0,Adventure,2013,"PC, PS4, Xbox One, Mobile",59.99,M 17+
Roblox,8.3,209.0,Platform,2006,"PC, Console, Mobile",0.0,E
Fortnite,8.5,350.0,Battle Royale,2017,"PC, Console, Mobile",0.0,T 13+
PUBG Mobile,8.0,75.0,Battle Royale,2017,Mobile,0.0,T 13+
Candy Crush Saga,8.2,1360.0,Puzzle,2012,Mobile,0.0,T 13+
Subway Surfers,8.4,2650.0,Arcade,2012,Mobile,0.0,E
Free Fire,8.1,1869.0,Battle Royale,2017,Mobile,0.0,T 13+
Genshin Impact,8.8,100.0,Action RPG,2020,Mobile,0.0,T 13+
COD: Mobile,8.3,100.0,Shooter,2019,Mobile,0.0,M 17+
Among Us,8.0,500.0,Social,2018,Mobile,4.99,E10+
Hollow Knight: Silksong,9.4,0.5,Platformer,2025,"PC, Console",0.0,M 17+
Hades II,9.4,0.5,Roguelike,2025,PC,0.0,M 17+
Monster Hunter Wilds,9.0,4.0,Action RPG,2025,"PC, PS5, Xbox Series X/S",69.99,M 17+
Tekken 8,8.6,3.0,Fighting,2023,PS5,69.99,T 13+
Zelda (Switch 2),9.5,2.0,Adventure,2025,Switch,59.99,T 13+
Metroid Prime 4,9.1,1.0,Adventure,2025,PS5,59.99,T 13+
Astro Bot,9.0,2.5,Platformer,2024,"PC, PS5, Xbox Series X/S",69.99,E
FF VII Remake,8.8,3.0,Adventure,2020,"PC, PS5, Xbox Series X/S",69.99,M 17+
Spider-Man 2,8.9,3.5,Adventure,2023,"PC, PS5, Xbox Series X/S",69.99,M 17+
